distance_bucket,defender_range,fgm,fga,fg2m,fg2a,fg3m,fg3a,fgp,pps
0,0-2 feet,4193,6282,4193,6282,0,0,0.6674625915313595,1.334925183062719
0,2-4 feet,6285,8491,6285,8491,0,0,0.7401955011188317,1.4803910022376634
0,4-6 feet,1594,1906,1594,1906,0,0,0.8363064008394544,1.6726128016789088
0,6+ feet,507,541,507,541,0,0,0.9371534195933456,1.8743068391866913
1,0-2 feet,12439,19063,12439,19063,0,0,0.6525205896238787,1.3050411792477574
1,2-4 feet,20837,28107,20837,28107,0,0,0.7413455722773686,1.4826911445547373
1,4-6 feet,7135,8445,7135,8445,0,0,0.8448786264061575,1.689757252812315
1,6+ feet,3034,3204,3034,3204,0,0,0.9469413233458177,1.8938826466916354
2,0-2 feet,16065,25370,16065,25370,0,0,0.6332282223098148,1.2664564446196296
2,2-4 feet,27108,36828,27108,36828,0,0,0.7360703812316716,1.4721407624633431
2,4-6 feet,9132,10670,9132,10670,0,0,0.8558575445173383,1.7117150890346766
2,6+ feet,4665,4921,4665,4921,0,0,0.9479780532412111,1.8959561064824222
3,0-2 feet,14661,24170,14661,24170,0,0,0.6065784029788994,1.2131568059577988
3,2-4 feet,21945,31797,21945,31797,0,0,0.6901594490046231,1.3803188980092462
3,4-6 feet,5951,7237,5951,7237,0,0,0.8223020588641702,1.6446041177283404
3,6+ feet,2388,2610,2388,2610,0,0,0.9149425287356322,1.8298850574712644
4,0-2 feet,10885,19677,10885,19677,0,0,0.5531839203130559,1.1063678406261117
4,2-4 feet,15188,24535,15188,24535,0,0,0.6190340330140616,1.2380680660281231
4,4-6 feet,3138,4211,3138,4211,0,0,0.7451911659938257,1.4903823319876515
4,6+ feet,836,992,836,992,0,0,0.842741935483871,1.685483870967742
5,0-2 feet,7903,15639,7903,15639,0,0,0.5053392160624081,1.0106784321248161
5,2-4 feet,11058,20046,11058,20046,0,0,0.5516312481293026,1.1032624962586053
5,4-6 feet,1979,3095,1979,3095,0,0,0.6394184168012924,1.2788368336025848
5,6+ feet,365,481,365,481,0,0,0.7588357588357588,1.5176715176715176
6,0-2 feet,5551,11885,5551,11885,0,0,0.46705931846865795,0.9341186369373159
6,2-4 feet,8557,17398,8557,17398,0,0,0.49183814231520867,0.9836762846304173
6,4-6 feet,1674,2986,1674,2986,0,0,0.5606162089752177,1.1212324179504354
6,6+ feet,212,335,212,335,0,0,0.6328358208955224,1.2656716417910447
7,0-2 feet,3847,8719,3847,8719,0,0,0.4412203234315862,0.8824406468631724
7,2-4 feet,7045,15821,7045,15821,0,0,0.44529422918905254,0.8905884583781051
7,4-6 feet,1602,3194,1602,3194,0,0,0.5015654351909831,1.0031308703819661
7,6+ feet,227,389,227,389,0,0,0.583547557840617,1.167095115681234
8,0-2 feet,2554,6149,2554,6149,0,0,0.41535208977069443,0.8307041795413889
8,2-4 feet,6009,14182,6009,14182,0,0,0.4237061063319701,0.8474122126639402
8,4-6 feet,1900,3882,1900,3882,0,0,0.48943843379701185,0.9788768675940237
8,6+ feet,247,464,247,464,0,0,0.5323275862068966,1.0646551724137931
9,0-2 feet,1788,4071,1788,4071,0,0,0.4392041267501842,0.8784082535003684
9,2-4 feet,5116,12388,5116,12388,0,0,0.412980303519535,0.82596060703907
9,4-6 feet,1988,4288,1988,4288,0,0,0.46361940298507465,0.9272388059701493
9,6+ feet,298,602,298,602,0,0,0.4950166112956811,0.9900332225913622
10,0-2 feet,1216,2875,1216,2875,0,0,0.42295652173913045,0.8459130434782609
10,2-4 feet,4318,10434,4318,10434,0,0,0.4138393712861798,0.8276787425723596
10,4-6 feet,2030,4476,2030,4476,0,0,0.45352993744414655,0.9070598748882931
10,6+ feet,378,775,378,775,0,0,0.48774193548387096,0.9754838709677419
11,0-2 feet,989,2332,989,2332,0,0,0.4240994854202401,0.8481989708404802
11,2-4 feet,3691,8941,3691,8941,0,0,0.4128173582373336,0.8256347164746672
11,4-6 feet,2211,4847,2211,4847,0,0,0.45615844852486076,0.9123168970497215
11,6+ feet,469,946,469,946,0,0,0.49577167019027485,0.9915433403805497
12,0-2 feet,776,1802,776,1802,0,0,0.4306326304106548,0.8612652608213096
12,2-4 feet,3242,8146,3242,8146,0,0,0.39798674195924383,0.7959734839184877
12,4-6 feet,2219,4981,2219,4981,0,0,0.44549287291708495,0.8909857458341699
12,6+ feet,592,1166,592,1166,0,0,0.5077186963979416,1.0154373927958833
13,0-2 feet,672,1572,672,1572,0,0,0.42748091603053434,0.8549618320610687
13,2-4 feet,3172,7687,3172,7687,0,0,0.4126447248601535,0.825289449720307
13,4-6 feet,2406,5455,2406,5455,0,0,0.44106324472960584,0.8821264894592117
13,6+ feet,753,1470,753,1470,0,0,0.5122448979591837,1.0244897959183674
14,0-2 feet,570,1303,570,1303,0,0,0.43745203376822717,0.8749040675364543
14,2-4 feet,2997,7557,2997,7557,0,0,0.39658594680428744,0.7931718936085749
14,4-6 feet,2885,6393,2885,6393,0,0,0.451274831847333,0.902549663694666
14,6+ feet,1075,2133,1075,2133,0,0,0.5039849976558838,1.0079699953117676
15,0-2 feet,506,1261,506,1261,0,0,0.401268834258525,0.80253766851705
15,2-4 feet,3082,7724,3082,7724,0,0,0.3990160538581046,0.7980321077162092
15,4-6 feet,3440,7879,3440,7879,0,0,0.43660362990227186,0.8732072598045437
15,6+ feet,1500,3094,1500,3094,0,0,0.4848093083387201,0.9696186166774402
16,0-2 feet,434,1184,434,1184,0,0,0.36655405405405406,0.7331081081081081
16,2-4 feet,3203,8240,3203,8240,0,0,0.3887135922330097,0.7774271844660194
16,4-6 feet,4223,9724,4223,9724,0,0,0.43428630193336076,0.8685726038667215
16,6+ feet,2019,4429,2019,4429,0,0,0.4558591104086701,0.9117182208173402
17,0-2 feet,355,989,355,989,0,0,0.358948432760364,0.717896865520728
17,2-4 feet,3191,8385,3191,8385,0,0,0.38056052474657126,0.7611210494931425
17,4-6 feet,5028,11678,5028,11678,0,0,0.4305531769138551,0.8611063538277102
17,6+ feet,2871,6309,2871,6309,0,0,0.4550641940085592,0.9101283880171184
18,0-2 feet,372,997,372,997,0,0,0.3731193580742227,0.7462387161484454
18,2-4 feet,3112,8275,3112,8275,0,0,0.3760725075528701,0.7521450151057402
18,4-6 feet,5639,13472,5639,13472,0,0,0.4185718527315915,0.837143705463183
18,6+ feet,3655,8095,3655,8095,0,0,0.4515132798023471,0.9030265596046942
19,0-2 feet,294,868,294,868,0,0,0.3387096774193548,0.6774193548387096
19,2-4 feet,2697,7462,2697,7462,0,0,0.3614312516751541,0.7228625033503082
19,4-6 feet,5768,14185,5768,14185,0,0,0.4066267183644695,0.813253436728939
19,6+ feet,4241,9699,4241,9699,0,0,0.43726157335807814,0.8745231467161563
