player,team,fgp3,fgp3_nba_range,fga3,fga3_nba_range
Kyle Wiltjer,Gonzaga,0.45375722543352601156,0.47552447552447552448,346,143
James Daniel III,Tennessee,0.36781609195402298851,0.47524752475247524752,174,101
Marcus Derrickson,Georgetown,0.40636042402826855124,0.46540880503144654088,283,159
Markus Howard,Marquette,0.46093750000000000000,0.46009389671361502347,384,213
Cassius Winston,Michigan State,0.45909090909090909091,0.45762711864406779661,220,118
Rasheed Sulaimon,Maryland,0.41979522184300341297,0.44800000000000000000,293,125
James Blackmon Jr.,Indiana,0.42138364779874213836,0.44628099173553719008,477,242
Landry Shamet,Wichita State,0.44277108433734939759,0.44571428571428571429,332,175
Deshon Taylor,Fresno State,0.42702702702702702703,0.44554455445544554455,185,101
Deontae Hawkins,Boston College,0.38486842105263157895,0.44444444444444444444,304,108
Emmett Naar,Saint Mary's,0.42071197411003236246,0.44370860927152317881,309,151
Denzel Valentine,Michigan State,0.42168674698795180723,0.44339622641509433962,581,212
Kevin Pangos,Gonzaga,0.43597560975609756098,0.44186046511627906977,328,129
Bryn Forbes,Michigan State,0.46582278481012658228,0.44025157232704402516,395,159
Khyri Thomas,Creighton,0.40131578947368421053,0.43939393939393939394,304,132
Keyshawn Evans,Illinois State,0.40837696335078534031,0.43925233644859813084,191,107
Sterling Gibbs,Connecticut,0.39912280701754385965,0.43842364532019704433,456,203
Ryan Arcidiacono,Villanova,0.37500000000000000000,0.43814432989690721649,504,194
Mustapha Heron,Auburn,0.37980769230769230769,0.43809523809523809524,208,105
Bryce Alford,UCLA,0.39926739926739926740,0.43515850144092219020,819,347
Frank Mason III,Kansas,0.42528735632183908046,0.43502824858757062147,435,177
Adam Smith,Georgia Tech,0.41553398058252427184,0.43457943925233644860,515,214
Ralston Turner,North Carolina State,0.37224669603524229075,0.43312101910828025478,454,157
Avery Woodson,Butler,0.42899408284023668639,0.43243243243243243243,338,148
Anthony Brown,Stanford,0.44178082191780821918,0.43089430894308943089,292,123
Ahmed Hill,Virginia Tech,0.38251366120218579235,0.43085106382978723404,366,188
Justin Bibbs,Virginia Tech,0.42530755711775043937,0.43027888446215139442,569,251
Luwane Pipkins,Massachusetts,0.41441441441441441441,0.42727272727272727273,222,110
Micah Mason,Duquesne,0.44019138755980861244,0.42727272727272727273,209,110
London Perrantes,Virginia,0.41176470588235294118,0.42696629213483146067,510,267
Gabe York,Arizona,0.40331491712707182320,0.42660550458715596330,543,218
Yogi Ferrell,Indiana,0.41840277777777777778,0.42259414225941422594,576,239
Georges Niang,Iowa State,0.37005649717514124294,0.42222222222222222222,354,135
Kyle Guy,Virginia,0.42675159235668789809,0.42000000000000000000,314,150
Josh Hart,Villanova,0.39312977099236641221,0.41981132075471698113,524,212
Calvin Hermanson,Saint Mary's,0.42537313432835820896,0.41975308641975308642,536,243
Malik Monk,Kentucky,0.39694656488549618321,0.41732283464566929134,262,127
Andrew Rowsey,Marquette,0.40397350993377483444,0.41603053435114503817,453,262
Jordan Mathews,Gonzaga,0.40971168437025796662,0.41568627450980392157,659,255
Caleb Martin,Nevada,0.37333333333333333333,0.41517857142857142857,525,224
Nic Moore,SMU,0.42592592592592592593,0.41395348837209302326,486,215
Dakota Mathias,Purdue,0.42582897033158813264,0.41379310344827586207,573,261
Matisse Thybulle,Washington,0.38123167155425219941,0.41379310344827586207,341,116
Michael Gbinije,Syracuse,0.39240506329113924051,0.41358024691358024691,395,162
Derek Willis,Kentucky,0.39852398523985239852,0.41322314049586776860,271,121
Jalen Moore,Utah State,0.38993710691823899371,0.41322314049586776860,318,121
KJ Feagin,Santa Clara,0.39344262295081967213,0.41284403669724770642,244,109
Matt Farrell,Notre Dame,0.40298507462686567164,0.41250000000000000000,469,240
Milton Doyle,Loyola (IL),0.33854166666666666667,0.41000000000000000000,192,100
Lagerald Vick,Kansas,0.37969924812030075188,0.41000000000000000000,266,100
Jahmel Taylor,Fresno State,0.40466926070038910506,0.40939597315436241611,257,149
Matt Jones,Duke,0.37362637362637362637,0.40935672514619883041,455,171
Tyler Ulis,Kentucky,0.37130801687763713080,0.40909090909090909091,237,110
Mike Lewis II,Duquesne,0.38547486033519553073,0.40909090909090909091,179,110
"Anthony Hickey, Jr.",Oklahoma State,0.38928571428571428571,0.40909090909090909091,280,110
Braian Angola,Florida State,0.37696335078534031414,0.40869565217391304348,191,115
Quinn Cook,Duke,0.39018691588785046729,0.40828402366863905325,428,169
Ty Jerome,Virginia,0.38666666666666666667,0.40816326530612244898,225,147
Jeremy Major,Pepperdine,0.39655172413793103448,0.40800000000000000000,232,125
Brandon Taylor,Utah,0.38888888888888888889,0.40740740740740740741,522,189
D'Angelo Harrison,St. John's,0.36760124610591900312,0.40740740740740740741,321,135
Antwan Scott,Colorado State,0.40851063829787234043,0.40707964601769911504,235,113
Josh Fortune,Colorado,0.34736842105263157895,0.40689655172413793103,380,145
Andrew White III,Syracuse,0.40000000000000000000,0.40686274509803921569,470,204
P.J. Thompson,Purdue,0.41483516483516483516,0.40659340659340659341,364,182
